Opened /dev/xdma0_h2c_0 -> 3
Opened /dev/xdma0_c2h_0 -> 4
Successfully reset the FPGA!
[rcrand] bender 0 bank 0 : 30000 random pairs, rows [0,65536), t_12=30, t_23 in {1,2}
[platform] BITSTREAM_IMEM in effect: 2048 (compile-time default)
[rcrand] 27600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 27800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 28000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 28200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 28400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 28600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 28800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 29000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 29200/30000 pairs; clones=0 partial(>1000)=0 best=45/8192 (rA=31456,rB=42164)
[rcrand] 29400/30000 pairs; clones=0 partial(>1000)=0 best=45/8192 (rA=31456,rB=42164)
[rcrand] 29600/30000 pairs; clones=0 partial(>1000)=0 best=45/8192 (rA=31456,rB=42164)
[rcrand] 29800/30000 pairs; clones=0 partial(>1000)=0 best=45/8192 (rA=31456,rB=42164)
[rcrand] 30000/30000 pairs; clones=0 partial(>1000)=0 best=45/8192 (rA=31456,rB=42164)
[rcrand] DONE 30000 pairs: full-clones=0 partial(>1000)=0 BEST=45/8192 at rA=31456 rB=42164
[rcrand] NO INTERACTION — no two random rows charge-share (no PUD)
